P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
148,0.02846778038731356,6.415465904722578,10.481800685815127,0.4284336396560907,0.5,-4.0,-4.0,1.0,826.4716553688049
333,0.029068864909710487,6.415465904947858,10.167895584324409,0.432594911133211,0.5,-4.0,-3.84,1.0,755.3702173233032
485,0.02969415198083794,6.415465894378784,9.857028934946388,0.43657255127700023,0.5,-4.0,-3.68,0.0,631.2623085975647
690,0.03034497889352698,6.415465904637987,9.540015867545705,0.441642893774177,0.5,-4.0,-3.52,1.0,800.1750330924988
866,0.031022460193484296,6.415465904878248,9.23083205794378,0.4480932684625686,0.5,-4.0,-3.36,0.0,632.7719922065735
1055,0.03172813379057241,6.415465904891818,8.909814670741525,0.4523224264695729,0.5,-4.0,-3.2,0.0,612.6902122497559
1259,0.03246301565334862,6.415465903273919,8.60099833004863,0.4581586119637887,0.5,-4.0,-3.04,0.0,638.5546655654907
69,0.03322848679405445,6.415465902789375,8.290240354751475,0.4633246517750379,0.5,-4.0,-2.88,0.0,470.13940358161926
247,0.03402573066057975,6.415465904858978,7.968558792055301,0.47084648525490413,0.5,-4.0,-2.7199999999999998,1.0,744.6034712791443
371,0.03485575299138437,6.415465904815169,7.664325592884367,0.47689584236458493,0.5,-4.0,-2.56,0.0,513.6237218379974
491,0.03571933537668616,6.41546576479988,7.3641977990943275,0.48386458836186996,0.5,-4.0,-2.4,0.0,499.7457618713379
646,0.0366172784627922,6.415465905122375,7.049132382743041,0.4916089735257192,0.5,-4.0,-2.24,1.0,638.8306832313538
762,0.03754948108133215,6.415465648313359,6.748707642063128,0.4991703709941454,0.5,-4.0,-2.08,0.0,418.2606782913208
911,0.03851547705015712,6.4154659039689665,6.458312794187229,0.5061511674896846,0.5,-4.0,-1.92,0.0,491.43891620635986
70,0.039513988371288056,6.4154658949838215,6.161755621790348,0.5153195979148945,0.5,-4.0,-1.7599999999999998,0.0,470.8456287384033
241,0.04054219851231753,6.415465875590363,5.866618002549212,0.5236348765233538,0.5,-4.0,-1.6,1.0,718.7652814388275
430,0.04159621661184978,6.41546584532182,5.593420228569828,0.5318383821839421,0.5,-4.0,-1.44,2.0,775.2673392295837
565,0.04266982090416534,6.415465902397928,5.3225771371049255,0.5407950341055068,0.5,-4.0,-1.2799999999999998,0.0,580.9501049518585
731,0.043754347493176186,6.4154659021507126,5.063796027445957,0.5492708827920245,0.5,-4.0,-1.12,1.0,638.9910500049591
865,0.04483790377097243,6.415465904518026,4.817280295254732,0.5573123203570269,0.5,-4.0,-0.96,0.0,459.6266059875488
1009,0.045905072759619164,6.415465902430192,4.585205457580713,0.56500195588937,0.5,-4.0,-0.7999999999999998,0.0,453.8235113620758
56,0.04693637604474057,6.41546580970514,4.37775429547783,0.570183934919663,0.5,-4.0,-0.6400000000000001,0.0,421.76717472076416
156,0.04790867572599767,6.41546589118909,4.194189850475865,0.5742688221177277,0.5,-4.0,-0.48,0.0,444.3247904777527
271,0.04879644126441604,6.415465902801174,4.04362771997822,0.5751728173754156,0.5,-4.0,-0.31999999999999984,0.0,456.9077663421631
394,0.049573532886809386,6.415465904676147,3.922744632942325,0.5730931540076036,0.5,-4.0,-0.16000000000000014,0.0,520.3327398300171
496,0.05021670134583633,6.415465900644366,3.8376748772493885,0.5672774878495845,0.5,-4.0,0.0,0.0,410.635858297348
612,0.050708750892409955,6.4154659051189045,3.7875993118233238,0.5579892818935117,0.5,-4.0,0.16000000000000014,0.0,472.0852518081665
723,0.05104067918290592,6.415465902184215,3.771985317318647,0.5453878878528344,0.5,-4.0,0.3200000000000003,0.0,437.4878385066986
59,0.05121207255398143,6.415465893822866,3.790985314284735,0.5296599293283797,0.5,-4.0,0.4800000000000004,0.0,430.6059923171997
175,0.051230827933194154,6.415465903591775,3.8391682097590962,0.5119489004751225,0.5,-4.0,0.6399999999999997,0.0,485.5304458141327
275,0.051109838564770846,6.4154659043015005,3.9051091444328456,0.4940387932637397,0.5,-4.0,0.7999999999999998,0.0,417.3853642940521
398,0.050864789132021936,6.415465900709557,3.9956203191851842,0.47517288645277933,0.5,-4.0,0.96,0.0,526.4732882976532
532,0.05051215582952892,6.415465901278369,4.097867997973285,0.45698898182663167,0.5,-4.0,1.12,0.0,541.9130194187164
629,0.05006787232759116,6.415465897543058,4.212543324527051,0.43954529255566965,0.5,-4.0,1.2800000000000002,0.0,422.67342472076416
741,0.049546219102895764,6.415465890196447,4.3395733139705435,0.4226751315627364,0.5,-4.0,1.4400000000000004,0.0,392.4487533569336
64,0.0489600193367401,6.41546589394018,4.461917179531149,0.40822222336086433,0.5,-4.0,1.6000000000000005,0.0,441.9029333591461
179,0.04832038318511451,6.415465904194921,4.60438581919124,0.3933847749944043,0.5,-4.0,1.7599999999999998,0.0,487.15274119377136
284,0.047636664295726106,6.415465901795374,4.742135023974317,0.3806899761639331,0.5,-4.0,1.92,0.0,448.45353531837463
399,0.046917155600551284,6.415465903675411,4.8910675014364156,0.3684377271717556,0.5,-4.0,2.08,0.0,486.1515290737152
517,0.04616898514431237,6.415465891107143,5.042499780219776,0.3573814020745503,0.5,-4.0,2.24,0.0,476.2695360183716
632,0.045398560260164145,6.415465882518303,5.205350063349284,0.3466874110070829,0.5,-4.0,2.4000000000000004,0.0,498.6550033092499
791,0.044610749061758825,6.415465901463325,5.3604239028901866,0.33789506954524406,0.5,-4.0,2.5600000000000005,0.0,557.0088841915131
77,0.04381069018419079,6.4154659031614525,5.526238161233799,0.3293747972050338,0.5,-4.0,2.7199999999999998,0.0,501.83310985565186
187,0.04300260258067371,6.415465903196793,5.703078256457631,0.3211230616018519,0.5,-4.0,2.88,0.0,460.442419052124
299,0.04218957098041316,6.415465900005396,5.880969801176624,0.3138658073289291,0.5,-4.0,3.04,0.0,500.9245352745056
424,0.041375893434754,6.415465898952238,6.0597603959466735,0.3075942728688247,0.5,-4.0,3.2,0.0,484.4479775428772
536,0.0405640412348538,6.415465901013851,6.2385954283873755,0.30236119879091017,0.5,-4.0,3.3600000000000003,0.0,463.79107570648193
649,0.03975679845763103,6.415465904404975,6.438652415732847,0.29632584538844975,0.5,-4.0,3.5200000000000005,0.0,457.32585740089417
782,0.038956475371405445,6.41546590071821,6.629482969348679,0.2921019185481646,0.5,-4.0,3.6799999999999997,0.0,510.87384057044983
103,0.03816519044946245,6.415465900753674,6.839460458423242,0.287172279156911,0.5,-4.0,3.84,0.0,607.6578516960144
