P_max,Omega_1,Omega_2,Mu,Gamma_e,Delta_1,Delta_2,number_of_fails,ComputTime
94,0.06835477845963957,12.90064250476431,13.309729167220738,0.14257392271276464,5.0,-4.0,-4.0,0.0,595.6769368648529
259,0.06924428716651032,12.900642505484187,13.071964803039958,0.14312535977359986,5.0,-4.0,-3.84,0.0,528.8660955429077
425,0.07014363896035965,12.900642506654115,12.821183118183576,0.14395104801313663,5.0,-4.0,-3.68,0.0,635.0798318386078
546,0.07105234398521561,12.900642499625892,12.57663382557347,0.14476229076099667,5.0,-4.0,-3.52,0.0,495.5113859176636
712,0.07196897617376334,12.900642506919237,12.337966257995872,0.14556057195744934,5.0,-4.0,-3.36,0.0,583.2616963386536
871,0.07289221544241345,12.9006424597147,12.106390725562589,0.14634715428844663,5.0,-4.0,-3.2,0.0,545.0289402008057
1083,0.07382077721885241,12.90064248766165,11.879197725279212,0.14712759745536763,5.0,-4.0,-3.04,1.0,730.5970869064331
92,0.07475305300430131,12.900642507768655,11.642264706172998,0.1481587758780775,5.0,-4.0,-2.88,0.0,540.3789615631104
228,0.07568725611759379,12.90064250943613,11.428679332840751,0.14891703524138003,5.0,-4.0,-2.7199999999999998,0.0,487.45079469680786
364,0.07662133041917549,12.900642501312841,11.221518135789761,0.1496668142720491,5.0,-4.0,-2.56,0.0,545.9314260482788
521,0.07755309212996768,12.9006425018253,11.020854441297274,0.15040983956751952,5.0,-4.0,-2.4,0.0,553.279797077179
655,0.07848013267317275,12.900642459730438,10.826689840749868,0.1511466294021206,5.0,-4.0,-2.24,0.0,509.7221133708954
819,0.07939993993506686,12.900642458112236,10.623424150421801,0.15212589429389167,5.0,-4.0,-2.08,0.0,584.6696648597717
974,0.08030966264775986,12.900641450182684,10.442412726781527,0.15284790936995407,5.0,-4.0,-1.92,0.0,512.3507270812988
65,0.0812092856177318,12.785341386595336,10.261925551237407,0.15354300856788278,5.0,-4.0,-1.7599999999999998,0.0,386.36162662506104
158,0.08210058510311757,12.65868522600428,10.085949406609071,0.15421333011775007,5.0,-4.0,-1.6,0.0,367.42663502693176
256,0.08298155363014804,12.518398957325338,9.913828123507846,0.15485509672147185,5.0,-4.0,-1.44,0.0,355.1597616672516
349,0.08384946602268384,12.373515390967594,9.760098141129813,0.15522559173315903,5.0,-4.0,-1.2799999999999998,0.0,413.42282462120056
448,0.08470189597393449,12.239718619452365,9.597975545203791,0.1558120366291023,5.0,-4.0,-1.12,0.0,358.12286376953125
558,0.08553595302170802,12.096975435228867,9.453273079113803,0.15612708299442157,5.0,-4.0,-0.96,0.0,406.95327281951904
